,loss,val_loss
0,0.09832905232906342,0.035795241594314575
1,0.02281273528933525,0.01769058220088482
2,0.015535742975771427,0.008693750016391277
3,0.01311049796640873,0.00843277107924223
4,0.011978312395513058,0.007058464922010899
5,0.011256544850766659,0.008502955548465252
6,0.010690235532820225,0.007000856567174196
7,0.010388731025159359,0.007575201336294413
8,0.01011154055595398,0.008155188523232937
9,0.01002876553684473,0.008960682898759842
10,0.009683082811534405,0.008777569979429245
11,0.009784864261746407,0.008528453297913074
